date,daytime,triggered_times,opened_times
2021-07-30,noon,13:00,2021-07-30 14:00:44.329022
2021-07-30,evening,17:00,not_opened
2021-07-30,night,21:00,not_opened
2021-07-31,morning,08:00,2021-07-31 08:19:41.903185
2021-07-31,noon,13:00,2021-07-31 13:48:26.991319
2021-07-31,evening,17:00,2021-07-31 17:27:44.166045
2021-07-31,night,21:00,2021-07-31 21:57:54.824044
2021-08-01,morning,08:00,not_opened
2021-08-01,noon,13:00,not_opened
2021-08-01,evening,17:00,not_opened
2021-08-01,night,21:00,2021-08-01 21:01:31.968847
2021-08-02,morning,08:00,not_opened
2021-08-02,noon,13:00,2021-08-02 15:26:30.133585
2021-08-02,evening,17:00,2021-08-02 19:53:00.321508
2021-08-02,night,21:00,not_opened
2021-08-03,morning,08:00,2021-08-03 08:15:20.242154
2021-08-03,noon,13:00,not_opened
2021-08-03,evening,17:00,not_opened
2021-08-03,night,21:00,not_opened
2021-08-04,morning,08:00,2021-08-04 08:14:16.347417
2021-08-04,noon,13:00,2021-08-04 13:03:41.923553
2021-08-04,evening,17:00,not_opened
2021-08-04,night,21:00,2021-08-04 21:11:54.462010
2021-08-05,morning,08:00,2021-08-05 08:46:17.288339
2021-08-05,noon,13:00,2021-08-05 13:22:08.255308
2021-08-05,evening,17:00,2021-08-05 19:46:12.834561
2021-08-05,night,21:00,2021-08-05 21:46:32.555646
2021-08-06,morning,08:00,2021-08-06 08:20:47.568243
2021-08-06,noon,13:00,2021-08-06 15:06:17.286436
2021-08-06,evening,17:00,2021-08-06 19:04:18.219872
2021-08-06,night,21:00,2021-08-06 21:04:19.475633
2021-08-07,morning,08:00,2021-08-07 08:20:06.977031
2021-08-07,noon,13:00,2021-08-07 14:10:47.241648
2021-08-07,evening,17:00,2021-08-07 18:30:15.889199
2021-08-07,night,21:00,2021-08-07 21:03:02.002378
2021-08-08,morning,08:00,2021-08-08 08:20:15.089238
2021-08-08,noon,13:00,2021-08-08 14:08:43.350942
2021-08-08,evening,17:00,2021-08-08 18:30:53.388136
2021-08-08,night,21:00,2021-08-08 21:05:42.116415
2021-08-09,morning,08:00,2021-08-09 08:14:54.317604
2021-08-09,noon,13:00,2021-08-09 13:33:59.787829
2021-08-09,evening,17:00,2021-08-09 18:34:38.788434
2021-08-09,night,21:00,2021-08-09 21:50:49.196619
2021-08-10,morning,08:00,2021-08-10 08:32:18.217899
2021-08-10,noon,13:00,2021-08-10 14:50:10.426200
2021-08-10,evening,17:00,2021-08-10 19:48:37.026578
2021-08-10,night,21:00,2021-08-10 21:47:28.999390
2021-08-11,morning,08:00,not_opened
2021-08-11,noon,13:00,2021-08-11 13:35:41.240419
2021-08-11,evening,17:00,2021-08-11 18:22:24.998509
2021-08-11,night,21:00,2021-08-11 21:32:09.692904
2021-08-12,morning,08:00,2021-08-12 08:56:33.084903
2021-08-12,noon,13:00,2021-08-12 15:22:48.302119
2021-08-12,evening,17:00,2021-08-12 18:18:38.400777
2021-08-12,night,21:00,2021-08-12 21:40:56.687256
2021-08-13,morning,08:00,2021-08-13 08:47:50.133316
2021-08-13,noon,13:00,2021-08-13 15:02:47.152290
2021-08-13,evening,17:00,2021-08-13 19:26:57.886203
2021-08-13,night,21:00,2021-08-13 21:56:13.165171
2021-08-14,morning,08:00,2021-08-14 08:49:35.676759
2021-08-14,noon,13:00,2021-08-14 13:06:34.919977
2021-08-14,evening,17:00,2021-08-14 18:14:10.664072
2021-08-14,night,21:00,2021-08-14 21:01:12.616988
2021-08-15,morning,08:00,2021-08-15 08:23:58.148752
2021-08-15,noon,13:00,2021-08-15 14:06:53.724652
2021-08-15,evening,17:00,2021-08-15 19:58:33.263053
2021-08-15,night,21:00,2021-08-15 21:16:13.113893
2021-08-16,morning,08:00,2021-08-16 08:17:27.530371
2021-08-16,noon,13:00,2021-08-16 13:53:31.152593
2021-08-16,evening,17:00,2021-08-16 18:37:16.252214
2021-08-16,night,21:00,2021-08-16 21:58:06.177756
2021-08-17,morning,08:00,2021-08-17 08:26:00.194019
2021-08-17,noon,13:00,2021-08-17 13:06:11.744158
2021-08-17,evening,17:00,2021-08-17 19:40:32.364317
2021-08-17,night,21:00,2021-08-17 21:08:13.586670
2021-08-18,morning,08:00,2021-08-18 08:35:52.991130
2021-08-18,noon,13:00,2021-08-18 13:35:18.925039
2021-08-18,evening,17:00,2021-08-18 17:58:43.434966
2021-08-18,night,21:00,2021-08-18 21:31:43.837289
2021-08-19,morning,08:00,2021-08-19 08:11:11.313663
2021-08-19,noon,13:00,2021-08-19 14:45:07.590489
2021-08-19,evening,17:00,not_opened
2021-08-19,night,21:00,not_opened
2021-08-20,morning,08:00,2021-08-20 08:02:53.517639
2021-08-20,noon,13:00,2021-08-20 14:09:00.379021
2021-08-20,evening,17:00,2021-08-20 17:04:09.447234
2021-08-20,night,21:00,2021-08-20 21:11:00.525458
2021-08-21,morning,08:00,2021-08-21 08:36:12.965297
2021-08-21,noon,13:00,2021-08-21 15:39:51.760891
2021-08-21,evening,17:00,2021-08-21 19:42:04.542850
2021-08-21,night,21:00,2021-08-21 21:47:57.493356
2021-08-22,morning,08:00,2021-08-22 08:02:15.198206
2022-11-27,morning,08:00,2022-11-27 8:00:00
2022-11-27,morning,08:00,2022-11-27 8:00:00
2022-11-27,morning,08:00,2022-11-27 8:00:00
2022-11-28,noon,13:00,2022-11-28 13:00:06.234558
2022-11-28,noon,13:00,2022-11-28 13:00:07.304177
2022-11-28,noon,13:00,2022-11-28 13:00:06.933679
2022-11-28,noon,13:00,2022-11-28 13:00:12.796256
2022-11-28,noon,13:00,2022-11-28 13:00:13.913472
2022-11-28,noon,13:00,2022-11-28 13:00:19.233027
2022-11-28,noon,13:00,2022-11-28 13:00:19.068663
2022-11-28,noon,13:00,2022-11-28 13:00:29.204117
2022-11-28,noon,13:00,2022-11-28 13:00:59.717008
2022-11-28,noon,13:00,2022-11-28 13:02:08.921273
2022-11-28,noon,13:00,2022-11-28 13:00:34.124366
2022-11-28,noon,13:00,2022-11-28 13:00:19.231218
2022-11-28,noon,13:00,2022-11-28 13:01:12.755398
2022-11-28,noon,13:00,2022-11-28 13:00:30.717172
2022-11-28,noon,13:00,2022-11-28 13:00:19.425206
2022-11-28,noon,13:00,2022-11-28 13:00:23.497184
2022-11-28,noon,13:00,2022-11-28 13:02:29.720773
2022-11-28,noon,13:00,2022-11-28 13:00:19.179279
2022-11-28,noon,13:00,2022-11-28 13:23:43.156669
2022-11-28,evening,17:00,2022-11-28 17:00:09.224544
2022-11-28,evening,17:00,2022-11-28 17:00:10.141212
2022-11-28,evening,17:00,2022-11-28 17:00:02.044280
2022-11-28,evening,17:00,2022-11-28 17:00:58.818376
2022-11-28,evening,17:00,2022-11-28 17:01:20.531388
2022-11-28,evening,17:00,2022-11-28 17:00:42.311129
2022-11-28,evening,17:00,2022-11-28 17:00:18.974580
2022-11-28,evening,17:00,2022-11-28 17:00:43.205647
2022-11-28,evening,17:00,2022-11-28 17:01:02.973787
2022-11-28,evening,17:00,2022-11-28 17:00:56.728694
2022-11-28,evening,17:00,2022-11-28 17:00:48.899188
2022-11-28,evening,17:00,2022-11-28 17:00:40.116626
2022-11-28,evening,17:00,2022-11-28 17:00:59.664225
2022-11-28,evening,17:00,2022-11-28 17:01:10.935106
2022-11-28,evening,17:00,2022-11-28 17:02:44.495154
2022-11-28,evening,17:00,2022-11-28 17:00:57.694368
2022-11-28,evening,17:00,2022-11-28 17:00:48.623900
2022-11-28,evening,17:00,2022-11-28 17:00:38.451660
2022-11-28,evening,17:00,2022-11-28 17:00:48.643880
2022-11-28,evening,17:00,2022-11-28 17:00:36.623890
